Task ID,Phase,Task Name,Priority,Estimated Hours,Dependencies,Status,Assignee,Due Date,Notes
FV2-001,Phase 1,FreeNameCard - Setup & Types,HIGH,0.5,None,Pending,,,Create file and define props interface
FV2-002,Phase 1,FreeNameCard - Layout Structure,HIGH,0.75,FV2-001,Pending,,,Implement all card sections
FV2-003,Phase 1,FreeNameCard - Styling & Animation,MEDIUM,0.75,FV2-002,Pending,,,Apply green theme and animations
FV2-004,Phase 1,LockedNameCard - Setup & Types,HIGH,0.5,None,Pending,,,Create file and define props interface
FV2-005,Phase 1,LockedNameCard - Layout & Blur Effect,HIGH,1.0,FV2-004,Pending,,,Implement blur strategy
FV2-006,Phase 1,LockedNameCard - Interaction & Animation,MEDIUM,0.75,FV2-005,Pending,,,Add hover and click handlers
FV2-007,Phase 1,LockedNameCard - Styling,MEDIUM,0.5,FV2-006,Pending,,,Apply premium theme
FV2-008,Phase 1,FreemiumResultsLayout - Setup & Types,MEDIUM,0.33,None,Pending,,,Create file and define props
FV2-009,Phase 1,FreemiumResultsLayout - Layout Structure,MEDIUM,0.75,FV2-008,Pending,,,Implement 3 states
FV2-010,Phase 1,FreemiumResultsLayout - States & Styling,MEDIUM,0.5,FV2-009,Pending,,,Style and test state transitions
FV2-011,Phase 1,Phase 1 - Component Index,LOW,0.17,FV2-003;FV2-007;FV2-010,Pending,,,Create index.ts exports
FV2-012,Phase 2,FreemiumCTA - Setup & Types,HIGH,0.33,None,Pending,,,Create file and define props
FV2-013,Phase 2,FreemiumCTA - Content Structure,HIGH,1.0,FV2-012,Pending,,,Implement all content sections
FV2-014,Phase 2,FreemiumCTA - Gradient Animation,MEDIUM,0.75,FV2-013,Pending,,,Implement animated gradient
FV2-015,Phase 2,FreemiumCTA - Conversion Psychology,HIGH,0.75,FV2-013,Pending,,,Add psychological triggers
FV2-016,Phase 2,FreemiumCTA - Styling & Mobile,MEDIUM,0.5,FV2-014,Pending,,,Apply styling and responsive
FV2-017,Phase 2,FreemiumPaymentModal - Setup & Types,HIGH,0.5,None,Pending,,,Create file and define props
FV2-018,Phase 2,FreemiumPaymentModal - Modal Structure,HIGH,1.0,FV2-017,Pending,,,Implement modal sections
FV2-019,Phase 2,FreemiumPaymentModal - Payment Integration,HIGH,1.5,FV2-018,Pending,,,Integrate TossPayments API
FV2-020,Phase 2,FreemiumPaymentModal - Error Handling,HIGH,0.75,FV2-019,Pending,,,Comprehensive error handling
